"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT00774787","Topical Imiquimod Cream in Combination With Cryotherapy for the Treatment of Actinic Keratoses",,"Completed","Has Results","Actinic Keratoses","Drug: imiquimod 5% cream","Change From Baseline in Actinic Keratoses Count at 4-8 Weeks Post-treatment|Cosmetic Appearance Score at 4-8 Weeks Post-treatment","Rigel Dermatology","All","18 Years and older   (Adult, Older Adult)","Phase 4","27","Other","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","08US02IMIQ-Rigel","October 2008","March 2010","March 2010","October 17, 2008","October 27, 2010","November 6, 2016","Spencer Dermatology and Skin Surgery, Saint Petersburg, Florida, United States|James Del Rosso, Henderson, Nevada, United States|Rigel Dermatology, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT00774787"
2,"NCT00805467","Open-Label, Multicenter Extension Study for Patients Completing Treatment Phase of a Rigel-Sponsored R935788 Studies",,"Terminated","Has Results","Rheumatoid Arthritis","Drug: Fostamatinib Disodium (R935788)","Percentage of Patients Who Had at Least 1 Treatment Emergent Adverse Event in Any Category|DAS28-CRP Score|HAQ-DI Score","AstraZeneca","All","18 Years and older   (Adult, Older Adult)","Phase 2","624","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","C-935788-012|D4300C00021","August 2008","August 2013","August 2013","December 9, 2008","June 25, 2014","June 25, 2014","Research Site, La Jolla, California, United States|Research Site, Palm Desert, California, United States|Research Site, Palo Alto, California, United States|Research Site, San Diego, California, United States|Research Site, Santa Maria, California, United States|Research Site, Hamden, Connecticut, United States|Research Site, Washington, District of Columbia, United States|Research Site, Aventura, Florida, United States|Research Site, Boca Raton, Florida, United States|Research Site, Gainesville, Florida, United States|Research Site, Ocala, Florida, United States|Research Site, Orange Park, Florida, United States|Research Site, Orlando, Florida, United States|Research Site, South Miami, Florida, United States|Research Site, Venice, Florida, United States|Research Site, Boise, Idaho, United States|Research Site, Coeur D'Alene, Idaho, United States|Research Site, South Bend, Indiana, United States|Research Site, Elizabethtown, Kentucky, United States|Research Site, Cumberland, Maryland, United States|Research Site, Hagerstown, Maryland, United States|Research Site, Lansing, Michigan, United States|Research Site, Omaha, Nebraska, United States|Research Site, Roslyn, New York, United States|Research Site, Smithtown, New York, United States|Research Site, Raleigh, North Carolina, United States|Research Site, Mayfiled Village, Ohio, United States|Research Site, Erie, Pennsylvania, United States|Research Site, Willow Grove, Pennsylvania, United States|Research Site, Wyomissing, Pennsylvania, United States|Research Site, Jackson, Tennessee, United States|Research Site, Austin, Texas, United States|Research Site, San Antonio, Texas, United States|Research Site, Oklahoma City, Washington, United States|Research Site, Spokane, Washington, United States|Research Site, Antwerp, Belgium|Research Site, Gent, Belgium|Research Site, Liege, Belgium|Research Site, Plovdiv, Bulgaria|Research Site, Ruse, Bulgaria|Research Site, Sofia, Bulgaria|Research Site, Barranquilla, Colombia|Research Site, Bogota, Colombia|Research Site, Bucaramanga, Colombia|Research Site, Medellín, Colombia|Research Site, Bordeaux, France|Research Site, Hamburg, Germany|Research Site, Leipzig, Germany|Research Site, Würzburg, Germany|Research Site, Siena, Italy|Research Site, Udine, Italy|Research Site, Chihuahua, Mexico|Research Site, Cuernava, Mexico|Research Site, Del. Cuauhtemoc, Mexico|Research Site, Guadalajara, Mexico|Research Site, Leon, Mexico|Research Site, Mexcio, Mexico|Research Site, Mexico, Mexico|Research Site, Morelia, Mexico|Research Site, San Luis Potosí, Mexico|Research Site, Jesus Maria, Peru|Research Site, Lima, Peru|Research Site, Białystok, Poland|Research Site, Bytom, Poland|Research Site, Elblag, Poland|Research Site, Grodzisk Mazowiecki, Poland|Research Site, Krakow, Poland|Research Site, Lublin, Poland|Research Site, Toruń, Poland|Research Site, Wroclaw, Poland|Research Site, Zyrardów, Poland|Research Site, Brailari, Romania|Research Site, Bucuresti, Romania|Research Site, Cluj-Napoca, Romania|Research Site, Sf. Gheorghe, Romania|Research Site, Sibiu, Romania",,"https://ClinicalTrials.gov/show/NCT00805467"
3,"NCT04304300","Radiotherapy in IDH Mutated Glioma: Evaluation of Late Outcomes","RIGEL","Recruiting","No Results Available","Astrocytoma, Grade II|Astrocytoma, Grade III|Oligodendroglioma|Oligodendroglioma, Anaplastic",,"Toxicity (selected CTCAE 5.0 items)|Neurocognitive testing|Next intervention free survival (NIFS)|Progression Free Survival (PFS)|Overall Survival (OS)|Health Related Quality of Life (HRQOL)|Health - Related Economics","Erasmus Medical Center|HollandPTC|Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA)|Leiden University Medical Center|Delft University of Technology|Medical Center Haaglanden","All","18 Years and older   (Adult, Older Adult)",,"79","Other|Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","NL69780.078.19|Netherlands Trial Register","December 10, 2019","May 2024","May 2026","March 11, 2020",,"March 25, 2020","Erasmus MC, Rotterdam, Zuid Holland, Netherlands|Amsterdam UMC, Amsterdam, Netherlands|HollandPTC, Delft, Netherlands|Leiden University Medical Center, Leiden, Netherlands|Haaglanden Medical Center, Leidschendam, Netherlands",,"https://ClinicalTrials.gov/show/NCT04304300"
4,"NCT02612558","A Safety and Efficacy Study of R935788 in the Treatment of Warm Antibody Autoimmune Hemolytic Anemia (AIHA)","SOAR","Completed","No Results Available","Warm Antibody Autoimmune Hemolytic Anemia","Drug: Fostamatinib 150 mg bid","Hemoglobin response","Rigel Pharmaceuticals","All","18 Years and older   (Adult, Older Adult)","Phase 2","26","Industry","Interventional","Allocation: N/A|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","C-935788-053","July 2016","December 2019","December 2019","November 24, 2015",,"July 21, 2021","Banner MD Anderson Cancer Center, Gilbert, Arizona, United States|Arizona Oncology Associates, PC, Tucson, Arizona, United States|UC San Diego Moores Cancer Center, La Jolla, California, United States|Loma Linda University Cancer Center, Loma Linda, California, United States|LAC/USC Health Center, Los Angeles, California, United States|University of California at San Francisco, San Francisco, California, United States|The Oncology Institute of Hope and Innovation, Whittier, California, United States|MedStar Georgetown University Hospital, Washington, District of Columbia, United States|Mid-Florida Hematology & Oncology Centers, P.A., Orange City, Florida, United States|Montgomery Cancer Center, Mount Sterling, Kentucky, United States|Johns Hopkins University School Of Medicine, Baltimore, Maryland, United States|Rcca Md Llc, Bethesda, Maryland, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|MidMichigan Health Cancer Center, Midland, Michigan, United States|University of Minnesota, Minneapolis, Minnesota, United States|Robert Wood Johnson University Hospital, New Brunswick, New Jersey, United States|Montefiore Medical Center, Bronx, New York, United States|Roswell Park Cancer Institute, Buffalo, New York, United States|Brody School of Medicine at East Carolina University, Greenville, North Carolina, United States|W.G. ""Bill"" Hefner VA Medical Center, Salisbury, North Carolina, United States|Cleveland Clinic Foundation, Cleveland, Ohio, United States|The Ohio State University Wexner Medical Center, Columbus, Ohio, United States|Promedica Flower Hospital, Sylvania, Ohio, United States|M. Francisco Gonzalez, M.D., P.A., Sumter, South Carolina, United States|Texas Oncology San Antonio Medical Center, San Antonio, Texas, United States|Clear Lake Specialties, Webster, Texas, United States|Huntsman Cancer Institute, Salt Lake City, Utah, United States|University of Utah, Salt Lake City, Utah, United States|University of Washington, Seattle, Washington, United States|West Virginia University, Morgantown, West Virginia, United States|Froedtert Hospital, Milwaukee, Wisconsin, United States|University of Alberta Hospital, Edmonton, Alberta, Canada|Hamilton Health Sciences- McMaster University Medical Centre, Hamilton, Ontario, Canada|Victoria Hospital, London, Ontario, Canada|St. Michael's Hospital, Toronto, Ontario, Canada|Jewish General Hospital, Montreal, Quebec, Canada",,"https://ClinicalTrials.gov/show/NCT02612558"
5,"NCT02433236","Open Label Study of Fostamatinib in the Treatment of IgA Nephropathy",,"Withdrawn","No Results Available","IGA Nephropathy","Drug: Fostamatinib Disodium tablet 100 mg|Drug: Fostamatinib Disodium tablet 150 mg","Number of Participants with mean change of Proteinuria as measured by spot urine protein/creatinine ratio (sPCR)","Rigel Pharmaceuticals","All","18 Years to 72 Years   (Adult, Older Adult)","Phase 2","0","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","C-935788-051","September 2015","September 2015",,"May 4, 2015",,"October 23, 2015",,,"https://ClinicalTrials.gov/show/NCT02433236"
6,"NCT02112838","Safety and Efficacy Study of Fostamatinib to Treat Immunoglobin A (IgA) Nephropathy",,"Completed","Has Results","IGA Nephropathy","Drug: Fostamatinib 150 mg|Drug: Fostamatinib 100 mg|Drug: Placebo","Mean Change of Proteinuria as Measured by Spot Urine Protein/Creatinine Ratio (sPCR) at Week 24|Mean Change From Pre-treatment to Post-treatment in Mesangial Hypercellularity (M) on Renal Biopsies.|Percentage of Subjects With ≥50% Reduction in sPCR From Baseline (Visit 2) at Week 24 (Visit 9).|Percentage of Subjects With ≥ 30% Reduction in Proteinuria From Baseline (Visit 2) at 24 Weeks (Visit 9).|Mean Change From Pre-treatment to Post-treatment in Percentage of Glomeruli With Endocapillary Hypercellularity (E) on Renal Biopsies.|Mean Change From Pre-treatment to Post-treatment in Percentage of Glomeruli With Segmental Sclerosis/Adhesion (S) on Renal Biopsies.|Mean Change From Pre-treatment to Post-treatment in Percentage of Glomeruli With Global Glomerulosclerosis Score on Renal Biopsies.|Mean Change From Pre-treatment to Post-treatment in Percentage of Glomeruli With Tubulointerstitial Scarring (T) on Renal Biopsies.|Mean Change From Pre-treatment to Post-treatment in Percentage of Glomeruli With Cellular/Fibrocellular Crescent Score on Renal Biopsies.|Mean Change From Baseline (Visit 2) of eGFR at 12 Weeks (Visit 7).|Mean Change From Baseline (Visit 2) of eGFR at 24 Weeks (Visit 9).|Mean Change From Baseline (Visit 2) of Proteinuria at 12 Weeks (Visit 7).|Percentage of Subjects With sPCR <50 mg/mmol (500 mg/g) at 12 Weeks (Visit 7).|Shift in Haematuria (Dipstick Test) From Baseline (Visit 2) at 12 Weeks (Visit 7).|Shift in Haematuria (Dipstick Test) From Baseline (Visit 2) at 24 Weeks (Visit 9).","Rigel Pharmaceuticals","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 2","76","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","C-935788-050|2014-000331-16","October 2014","March 23, 2018","November 12, 2018","April 14, 2014","June 27, 2019","June 27, 2019","Stanford University Medical, Palo Alto, California, United States|Nephrology Associates PC, University Hospital, Professional Center 1, Augusta, Georgia, United States|Ohio State University, Columbus, Ohio, United States|Southeast Renal Research Institute, Chattanooga, Tennessee, United States|Medical University of Graz, Graz, Steiermark, Austria|Medical University Vienna, Nephrology, Vienna, Austria|Medical University of Heidelberg, Heidelberg, Baden-Wurtemberberg, Germany|Klinikum der Universität München, Munich, Bayern, Germany|Universitätsklinikum Carl Gustav Carus an der Technischen Universität Dresden, Dresden, Sachsen, Germany|Medical University of Jena, Jena, Thueringen, Germany|Prince of Wales Hospital, Hong Kong, Sha Tin, Hong Kong|Queen Mary Hospital, Hong Kong, Hong Kong|China Medical University Hospital, Taichung, Taiwan|School of Medicine, Chang Gung University, Chang Gung Memorial Hospital, Taoyuan, Taiwan|Addenbrookes Hospital, Cambridge, United Kingdom|Cardiff University, Cardiff, United Kingdom|Leicester General Hospital, Leicester, United Kingdom|Royal Free Hospital, London, United Kingdom|Hammersmith Hospital, London, United Kingdom|Freeman Hospital, Newcastle upon Tyne, United Kingdom","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/38/NCT02112838/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/38/NCT02112838/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT02112838"
7,"NCT02077192","Open Label Study of R788 in the Treatment of Persistent/Chronic Immune Thrombocytopenic Purpura (ITP)",,"Completed","No Results Available","Immune Thrombocytopenic Purpura","Drug: Fostamatinib Disodium","Number of Participants with platelet count of at least 50,000/µL as a Measure of Safety and Efficacy","Rigel Pharmaceuticals","All","18 Years and older   (Adult, Older Adult)","Phase 3","124","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","C-935788-049|2013-005454-30","July 2014","June 1, 2020","June 1, 2020","March 4, 2014",,"May 25, 2021","Arizona Oncology Associates, Tucson, Arizona, United States|Bleeding & Clotting Disorders Institute, Peoria, Illinois, United States|Horizon Oncology Research, Inc, Lafayette, Indiana, United States|Center for Cancer and Blood Disorders, Bethesda, Maryland, United States|Weill Cornell Medical College/New York Presbyterian Hospital, New York, New York, United States|Weill Cornell Medicine, New York, New York, United States|East Carolina University, Brody School of Medicine, Greenville, North Carolina, United States|W.G. ""Bill"" Hefner VA Medical Center, Salisbury, North Carolina, United States|Signal Point Clinical Research Center LLC, Middletown, Ohio, United States|Concord Repatriation General Hospital, Concord, New South Wales, Australia|Liverpool Hospital, Liverpool, New South Wales, Australia|Prince of Wales Hospital, Randwick, New South Wales, Australia|Westmead Hospital, Westmead, New South Wales, Australia|Launceston General Hospital, Launceston, Tasmania, Australia|The Alfred, Melbourne, Victoria, Australia|Perth Blood Institute, Nedlands, Western Australia, Australia|Hanusch-Krankenhaus Wiener Gebietskrankenkasse, Vienna, Austria|Specialized Hospital for Active Treatment of Hematology Diseases, EAD, Sofia, Department of Chemotherapy, Hemotherapy and Blood Inherited Diseases to Clinic of Clinical Hematology;, Sofia, BG, Bulgaria|UMHAT Dr. Georgi Stranski, EAD, Pleven, Clinic of Hematology, Pleven, Bulgaria|UMHAT Aleksandrovska, EAD, Sofia, Bulgaria|MHAT Hristo Botev, AD, Vratsa, First Internal Department, Vratsa, Bulgaria|Hamilton Health Sciences Corporation, Hamilton, Ontario, Canada|St. Michael's Hospital, Toronto, Ontario, Canada|Fakultni nemocnice Brno, Brno, Czechia|Fakultni nemocnice Ostrava, Ostrava-Poruba, Czechia|Herlev Hospital, Herlev, DK, Denmark|Pecsi Tudomanyegyetem Klinikai Kozpont, I. sz. Belgyogyaszati Klinika, Pecs, Hungary|Istituto di Ematologia ""Lorenzo e Ariosto Seràgnoli"", Bologna, BO, Italy|Azienda Ospedaliero-Universitaria ""Santa Maria della Misericordia"" - Clinica Ematologica, Udine, Italy|HAGA ziekenhuis, Den Haag, NL, Netherlands|Haukeland universitetssykehus, Helse Bergen HF, Bergen, Norway|Sykehuset Østfold Kalnes, Grålum, Norway|Samodzielny Publiczny Szpital Kliniczny Nr 1 we Wrocrlaw, Wroclaw, Dolnoslaski, Poland|Wojewodzki Szpital Specjalistyczny im. J. Korczaka, Slupsk, PO, Poland|Lkinika Hematologii I Transplantologii Uniwersyteckie Centrum Kliniczne, Gdansk, Poland|SPZOZ Szpital Uniwersytecki w Krakowie Pracownia Separacji Krwinek i Bank Komórek Krwiotwórczych Klinika Hematologii, Kraków, Poland|Wojewódzki Szpital Specjalistyczny im. M. Kopernika w Łodzi, Lodz, Poland|Specjalistyczny Gabinet Lekarski, Lublin, Poland|Szpital Wojewodzki w Opolu, Opole, Poland|Instytut Hematologii I Transfuzjologii, Warszawa, Poland|Spitalul Clinic Colentina, Hematologie, Bucuresti, Romania|Hospital Universitari Vall d'Hebron, Barcelona, Spain|Hospital Universitario La Paz, Madrid, Spain|Hospital Universitari i Politécnic La Fe de Valencia, Valencia, Spain|Colchester General Hospital, Colchester, Essex, United Kingdom|Royal Victoria Infirmary, Newcastle-upon-Tyne, UK, United Kingdom|Kent & Canterbury Hospital, Canterbury, United Kingdom|James Paget University Hospital, Great Yarmouth, United Kingdom|St. James's Hospital, Leeds, United Kingdom|Leicester Royal Infirmary, Leicester, United Kingdom|Royal Liverpool University Hospital, Liverpool, United Kingdom|Imperial College Healthcare NHS Trust, London, United Kingdom|University College Hospital, London, United Kingdom|Cancer and Haematology Centre, Oxford, United Kingdom|University Hospital of North Midlands NHS Trust, Royal Stoke University Hospital, Stoke-on-Trent, United Kingdom",,"https://ClinicalTrials.gov/show/NCT02077192"
8,"NCT02076412","A Efficacy and Safety Study of Fostamatinib in the Treatment of Persistent/Chronic Immune Thrombocytopenic Purpura (ITP)","FIT","Completed","Has Results","Immune Thrombocytopenic Purpura","Drug: Fostamatinib Disodium|Drug: Placebo","Number of Participants With Stable Platelet Response of at Least 50,000/µL|Number of Participants With Platelet Count ≥ 50,000/µL at Week 12|Number of Participants With Platelet Count ≥ 50,000/µL at Week 24|Number of Participants With Platelet Count ≥ 30,000/μL and at Least 20,000/μL Above Baseline at Week 12|Number of Participants With Platelet Count ≥ 30,000/μL and at Least 20,000/μL Above Baseline at Week 24|Frequency and Severity of Bleeding According to the ITP Bleeding Score (IBLS)|Frequency and Severity of Bleeding According to the World Health Organization (WHO) Bleeding Scale","Rigel Pharmaceuticals","All","18 Years and older   (Adult, Older Adult)","Phase 3","74","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","C-935788-048|2013-005453-76","January 2015","August 2016","August 2016","March 3, 2014","January 25, 2019","January 25, 2019","Hematology Oncology Associates of Rockland Division of Highland Medical PC, Nyack, New York, United States|Hanusch-Krankenhaus Wiener Gebietskrankenkasse, Vienna, AU, Austria|Medizinische Universitaet Wien / AKH Wien, Wien, AU, Austria|LKH Feldkirch at LKH Rankweil, Rankweil, Austria|Specialized Hospital for Active Treatment of Hematology Diseases, EAD, Sofia, Department of Chemotherapy, Hemotherapy and Blood Inherited Diseases to Clinic of Clinical Hematology;, Sofia, BG, Bulgaria|MHAT Hristo Botev, AD, Vratsa, First Internal Department, Vratsa, BG, Bulgaria|UMHAT Dr. Georgi Stranski, EAD, Pleven, Clinic of Hematology, Pleven, Bulgaria|UMHAT Aleksandrovska, EAD, Clinic of Clinical Hematology, Sofia, Bulgaria|Fakultni nemocnice Brno, Brno, CZ, Czechia|Hospital Kyjov, Kyjov, CZ, Czechia|Fakultni nemocnice Ostrava, Ostrava-Poruba, Czechia|Fakultni nemocnice Kralovske Vinohrady, Praha 10, Czechia|Vseobecna fakultni nemocnice, Linterní Klinika, Klinika hematologie, Praha 2, Czechia|Universitaetsklinikum Giessen und Marburg (UKGM), Giessen, DE, Germany|Werlhof Institut GmbH, Hannover, DE, Germany|Charit Berlin - Campus Benjamin Franklin, Berlin, Germany|Marien Hospital Duesseldorf, Duesseldorf, Germany|Universittsklinikum Essen, Essen, Germany|Haukeland University Hospital, Bergen, Norway|Sykehuset Østfold Fredrikstad, Fredrikstad, Norway|Uniwersyteckie Centrum Kliniczne, Gdansk, Poland|Szpital Uniwersytecki, Krakow, Poland|Wojewódzki Szpital Specjalistyczny im. M. Kopernika w Łodzi, Lodz, Poland|Specjalistyczny Gabinet Lekarski, Lublin, Poland|Szpital Wojewodzki w Opolu, Opole, Poland|Wojewodzki Szpital Specjalistyczny im. J. Korczaka, Slupsk, Poland|Instytut Hematologii I Transfuzjologii, Warszawa, Poland|Samodzielny Publiczny Szpital Kliniczny Nr 1 we Wrocrlaw, Wroclaw, Poland|Spitalul Clinic Judetean de Urgenta Tirgu-Mures, Sectia Medicina Interna 1, Compartiment Hematologie, Targu Mures, Mures, Romania|Spitalul Clinic Colentina, Hematologie, Bucuresti, Romania|Spitalul Clinic Coltea, Hematologie, Bucuresti, Romania|Hospital Universitari Vall D'Hebron, Barcelona, Spain|Hospital Universitari Germans Trias i Pujol, Barcelona, Spain|Hospital Universitariola Paz, Madrid, Spain|Hospital Universitari i Politécnic La Fe de Valencia, Valencia, Spain",,"https://ClinicalTrials.gov/show/NCT02076412"
